Trimestre,Tasa de actividad,Tasa de actividad de mujeres,Tasa de actividad de varones,Tasa de actividad de jefes de hogar,Tasa de actividad de mujeres hasta 29 anios,Tasa de actividad de mujeres de 30 a 64 anios,Tasa de actividad de varones hasta 29 anios,Tasa de actividad de varones de 30 a 64 anios,Tasa de empleo,Tasa de empleo de mujeres,Tasa de empleo de varones,Tasa de empleo de jefes de hogar,Tasa de empleo de mujeres hasta 29 anios,Tasa de empleo de mujeres de 30 a 64 anios,Tasa de empleo de varones hasta 29 anios,Tasa de empleo de varones de 30 a 64 anios,Tasa de desocupacion,Tasa de desocupacion de mujeres,Tasa de desocupacion de varones,Tasa de desocupacion de jefes de hogar,Tasa de desocupacion de mujeres hasta 29 años,Tasa de desocupacion de mujeres de 30 a 64 años,Tasa de desocupacion de varones hasta 29 años,Tasa de desocupacion de varones de 30 a 64 años,Tasa de subocupacion horaria,Subocupado demandante,Subocupado no demandante,Tasa de sobreocupacion horaria,Tasa de demandante de empleo,Poblacion ocupada Asalariada,Poblacion ocupada No asalariada,Poblacion ocupada Asalariados sin descuento jubilatorio
2012-07-01,61.1,49.4,74.1,68.5,43.5,66.6,62.6,93.5,55.7,44.4,68.1,66.1,36.9,61.3,52.4,89,8.9,10.2,8.1,3.6,15.2,8,16.4,4.9,10.7,7.6,3.1,27.2,27.5,74.7,25.3,39.5
2012-10-01,60.8,49.8,73.1,70.6,47.9,64.3,60.9,93.1,56.1,44.6,69.1,69.2,39.6,59.7,55.2,89.3,7.7,10.5,5.5,1.9,17.3,7.1,9.4,4.1,12.8,10.8,2,29.2,28.9,75.6,24.4,33.8
2013-01-01,57,48.2,66.7,64.2,42.8,64.8,46.1,92.4,50.8,41.7,61,60,32.3,59,38.1,87,10.8,13.8,8.6,6.5,24.7,8.9,17.3,5.8,9.3,7.8,1.6,32.2,27.4,76.3,23.7,35.7
2013-04-01,58.7,49.2,68.9,66.9,42.6,66.4,52,93.6,52.7,43.1,63,61.7,32.3,60.9,42.7,89.3,10.3,12.5,8.5,7.7,24.1,8.3,17.8,4.6,9.7,7.2,2.4,30.1,29.5,75.2,24.8,32.5
2013-07-01,60.9,50.4,72.5,69.3,40.7,70.3,59.5,92.1,55.5,44.2,68,66.7,30.7,64.6,51.4,89.1,8.9,12.5,6.2,3.8,24.6,8.1,13.6,3.2,9.4,7,2.4,29.4,27.5,77.1,22.9,32.6
2013-10-01,61.8,53.4,71.3,71,46.1,71.4,55.1,91.8,56.4,46.9,67.1,68.2,34.7,66.5,49.5,87.8,8.8,12.2,5.9,4,24.7,6.9,10.2,4.3,12.1,7.8,4.3,27.2,26.5,74.3,25.7,32.2
2014-01-01,60.2,50.6,71.5,68.3,42.8,68,60,93.2,54.8,45.5,65.5,65.1,33.9,64.1,50.5,88.4,9.1,10,8.4,4.7,20.6,5.8,15.7,5.2,11.4,7.3,4,28.4,26.6,75.9,24.1,33.7
2014-04-01,62.8,55,71.5,69.8,49.8,72.6,58,92.6,56.1,48.6,64.4,66.1,38.8,67.2,47.5,86.9,10.7,11.7,10,5.3,22.1,7.5,18.1,6.2,11,7.8,3.3,24.8,32.1,75.7,24.3,38.6
2014-07-01,62.6,54.5,71.5,71,46.8,74,57.5,92.9,55.3,46.8,64.7,66.7,34.5,66.9,45.9,88.3,11.6,14.1,9.5,6,26.2,9.6,20.1,4.9,13.1,7.8,5.2,25.4,32.1,76.3,23.7,38.3
2014-10-01,61,51.9,71.4,70.1,41.9,72.2,61.3,90,54.8,45.9,64.8,66.7,31.7,67.3,49.6,86,10.2,11.6,9.1,4.9,24.3,6.8,19.1,4.4,13.7,9.8,3.9,22.1,29.9,74,26,35.5
2015-01-01,59.4,49.9,70,68.4,39.9,68.8,57.7,91.7,54.7,44.4,66.1,64.8,31.1,63.9,50.7,89.4,7.9,11,5.5,5.2,21.9,7.1,12.1,2.5,10.6,6.4,4.3,24.2,24.7,77.3,22.7,32.5
2015-04-01,60.5,51.6,70.6,66.3,46.3,67.6,61.4,90.9,54.3,45.3,64.5,64.3,33.7,63.4,51.5,86.5,10.2,12.2,8.6,2.9,27.2,6.3,16,4.9,13.5,8.8,4.6,26.5,29,76.1,23.9,36
